AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
219001630,8833,Efc Den Bosch:Balkweg,8/7/2023 21:20,8/7/2023 17:55,5,16,0,0,0,0,28,0,JUMBO\wesselthoonen,8/8/2023 6:45,11004,8/7/2023,VEGRDCDKW4,0,0,0
219001674,8833,Efc Den Bosch:Balkweg,8/7/2023 19:00,8/7/2023 17:30,0,19,0,0,0,0,26,0,JUMBO\wesselthoonen,8/8/2023 6:44,11097,8/7/2023,VEGRDCDKW6,0,0,0
219004328,6536,Horsterweg;Sevenum,8/7/2023 8:13,8/7/2023 8:00,31,18,0,0,0,10,5,0,JUMBO\wesselthoonen,8/7/2023 13:19,11128,8/7/2023,VEGRDCDKW4,0,0,0
219004509,8833,Efc Den Bosch:Balkweg,8/7/2023 10:11,8/7/2023 10:05,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,8/8/2023 10:53,11115,8/7/2023,VEGRDCDKW4,0,0,24
219004644,8833,Efc Den Bosch:Balkweg,8/7/2023 5:25,8/7/2023 5:55,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,8/7/2023 10:36,11041,8/7/2023,VEGRDCVERS,0,0,26
219004645,8890,Balkweg; Efc Kantine,8/7/2023 5:25,8/7/2023 5:55,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,8/7/2023 10:36,11041,8/7/2023,VEGRDCVERS,0,0,0
219005517,6589,Jumbo-Krek,8/7/2023 6:00,,0,0,0,0,0,0,0,0,,,19114,8/7/2023,VEGRDCVERS,0,0,0
219005527,7046,Jumbo-Spa,8/7/2023 6:00,,0,0,0,0,0,0,0,0,,,19117,8/7/2023,VEGRDCDKW4,0,0,0
219005531,6589,Jumbo-Krek,8/7/2023 6:00,,0,0,0,0,0,0,0,0,,,19115,8/7/2023,VEGRDCDKW6,0,0,0
219005603,1028,Sportlaan;Bree,8/7/2023 6:19,8/7/2023 6:10,80,5,1,0,0,0,0,0,JUMBO\wesselthoonen,8/7/2023 10:26,11161,8/7/2023,VEGRDCVERS,0,0,0
219005604,4670,Stadsplein;S-Heerenberg,8/7/2023 6:30,8/7/2023 6:30,46,17,2,0,0,1,6,0,JUMBO\wesselthoonen,8/7/2023 10:39,11048,8/7/2023,VEGRDCVERS,0,0,0
219005605,7043,Carboonplein;Kerkrade,8/7/2023 6:00,8/7/2023 6:08,40,10,0,0,0,1,4,0,JUMBO\wesselthoonen,8/7/2023 10:37,11001,8/7/2023,VEGRDCVERS,0,0,0
219005606,3656,Bloemenmarkt;Geleen,8/7/2023 6:00,8/7/2023 5:47,11,16,5,0,0,10,9,0,JUMBO\wesselthoonen,8/7/2023 10:37,11062,8/7/2023,VEGRDCVERS,0,0,0
219005616,6400,Loenenseweg;Eerbeek,8/7/2023 6:30,8/7/2023 6:30,15,17,7,0,0,7,6,0,JUMBO\wesselthoonen,8/7/2023 10:38,11046,8/7/2023,VEGRDCVERS,0,0,0
219005617,1005,Steenweg;Lanaken,8/7/2023 7:00,8/7/2023 7:10,15,6,0,0,0,0,0,0,JUMBO\ninavandekerkhof,8/7/2023 19:44,11007,8/7/2023,VEGRDCVERS,0,0,0
219005618,4828,Europalaan;Winterswijk,8/7/2023 7:00,8/7/2023 7:00,26,22,1,0,0,22,8,0,JUMBO\ninavandekerkhof,8/7/2023 20:47,11133,8/7/2023,VEGRDCVERS,4,0,0
219005619,3487,Kerkstraat;Panningen,8/7/2023 6:15,8/7/2023 6:10,21,18,6,0,0,10,10,0,JUMBO\wesselthoonen,8/7/2023 10:36,11086,8/7/2023,VEGRDCVERS,0,0,0
