AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
240000730,6373,Lokerenpassage;Den Bosch,8/28/2023 10:27,8/28/2023 10:38,41,18,1,0,0,10,5,0,JUMBO\MarcelVanLieshout,8/28/2023 14:20,11012,8/28/2023,VEGRDCVERS,0,0,0
240000731,7101,Straelseweg;Venlo,8/28/2023 11:11,8/28/2023 11:20,30,16,1,0,0,0,9,0,JUMBO\MirandavanKessel,8/29/2023 12:02,11099,8/28/2023,VEGRDCVERS,0,0,0
240000732,5132,Losplaats;Uden,8/28/2023 10:50,8/28/2023 10:47,1,17,1,0,0,0,6,0,JUMBO\MarcelVanLieshout,8/28/2023 14:24,11018,8/28/2023,VEGRDCVERS,0,0,1
240000733,4915,Schakelplein;Volkel,8/28/2023 10:02,8/28/2023 10:07,0,11,7,0,0,0,6,0,JUMBO\MarcelVanLieshout,8/28/2023 14:19,11018,8/28/2023,VEGRDCVERS,0,0,0
240000734,5117,Schoolstraat;Reusel,8/28/2023 10:47,8/28/2023 11:15,31,11,0,0,0,10,6,0,JUMBO\MirandavanKessel,8/29/2023 12:20,11024,8/28/2023,VEGRDCVERS,0,0,0
240000735,6331,Hoofdstraat;Landgraaf,8/28/2023 11:29,8/28/2023 11:59,15,18,1,0,0,11,7,0,JUMBO\MirandavanKessel,8/29/2023 12:06,11168,8/28/2023,VEGRDCVERS,0,0,0
240000736,3754,Hortensialaan;Aalst,8/28/2023 10:57,8/28/2023 11:27,15,10,3,0,0,0,5,0,JUMBO\MarcelVanLieshout,8/28/2023 14:19,11196,8/28/2023,VEGRDCVERS,0,0,0
240000737,5033,Zuiderpoort;Echt,8/28/2023 13:00,8/28/2023 13:17,31,15,1,0,0,10,10,0,JUMBO\MirandavanKessel,8/29/2023 11:47,11087,8/28/2023,VEGRDCVERS,0,0,0
240000738,4938,S-Gravenswaardsedijk;Tolkamer,8/28/2023 12:09,8/28/2023 11:53,0,18,0,0,0,10,9,0,JUMBO\MirandavanKessel,8/29/2023 11:52,11063,8/28/2023,VEGRDCVERS,0,0,0
240000739,3448,Pastoriestraat;Duiven,8/28/2023 11:53,8/28/2023 12:00,0,13,0,0,0,0,5,0,JUMBO\MirandavanKessel,8/29/2023 11:52,11185,8/28/2023,VEGRDCVERS,0,0,0
240000740,3179,de Loop;Oirschot,8/28/2023 11:15,8/28/2023 11:30,0,0,0,0,0,0,0,0,JUMBO\MirandavanKessel,8/29/2023 12:06,11191,8/28/2023,VEGRDCVERS,0,0,0
240000741,3117,Brouwhorst;Helmond,8/28/2023 11:25,8/28/2023 11:25,20,15,1,0,0,10,10,0,JUMBO\MirandavanKessel,8/29/2023 11:02,11110,8/28/2023,VEGRDCVERS,0,0,0
240000742,3168,Auerschootseweg;Bakel,8/28/2023 11:25,8/28/2023 12:00,37,19,1,0,0,0,10,0,JUMBO\MirandavanKessel,8/29/2023 12:21,11002,8/28/2023,VEGRDCVERS,0,0,1
240000743,4881,Hoge Brake;Nuenen,8/28/2023 11:56,8/28/2023 11:45,25,22,2,0,0,10,11,0,JUMBO\MirandavanKessel,8/29/2023 12:18,11107,8/28/2023,VEGRDCVERS,0,0,0
240000744,4929,Ruys de Beerenbrouckstraat;Zutphen,8/28/2023 12:21,8/28/2023 12:10,0,9,1,0,0,0,2,0,JUMBO\MirandavanKessel,8/29/2023 12:03,11047,8/28/2023,VEGRDCVERS,0,0,0
240000745,5136,Nieuwe Waalreseweg;Valkenswaard,8/28/2023 11:35,8/28/2023 11:18,25,10,1,0,0,10,5,0,JUMBO\MarcelVanLieshout,8/28/2023 14:20,11162,8/28/2023,VEGRDCVERS,0,0,0
240000746,3555,Pettelaarseweg;Den Bosch,8/28/2023 11:32,8/28/2023 11:55,25,11,2,0,0,10,10,0,JUMBO\MirandavanKessel,8/29/2023 12:19,11159,8/28/2023,VEGRDCVERS,0,0,0
240000747,3126,Nederlandplein;Eindhoven,8/28/2023 11:39,8/28/2023 12:45,16,13,1,0,0,10,6,0,JUMBO\MirandavanKessel,8/29/2023 12:02,11092,8/28/2023,VEGRDCVERS,0,0,0
240000748,3401,Fiep Westendorpplein;Zaltbommel,8/28/2023 11:32,8/28/2023 11:40,30,17,0,0,0,10,7,0,JUMBO\MirandavanKessel,8/29/2023 12:17,11027,8/28/2023,VEGRDCVERS,0,0,0
240000749,4859,Belgiëplein;Eindhoven,8/28/2023 11:40,8/28/2023 12:30,45,11,1,0,0,12,9,0,JUMBO\MirandavanKessel,8/29/2023 12:02,11140,8/28/2023,VEGRDCVERS,0,0,0
240000750,6418,Eilandplein;Duiven,8/28/2023 12:21,8/28/2023 12:20,15,19,10,0,0,10,6,0,JUMBO\MirandavanKessel,8/29/2023 12:10,11151,8/28/2023,VEGRDCVERS,0,0,0
240000751,5112,Hatertseweg;Nijmegen,8/28/2023 11:50,8/28/2023 13:00,36,18,1,0,0,1,8,0,JUMBO\MirandavanKessel,8/29/2023 12:05,11036,8/28/2023,VEGRDCVERS,0,0,0
240000752,6350,Rudolf Steinerlaan;Zutphen,8/28/2023 13:00,8/28/2023 12:55,25,19,0,0,0,10,6,0,JUMBO\MirandavanKessel,8/29/2023 12:03,11047,8/28/2023,VEGRDCVERS,0,0,0
240000753,3090,Hilverstraat;Hilvarenbeek,8/28/2023 12:46,8/28/2023 12:46,45,20,0,0,0,20,9,0,JUMBO\MirandavanKessel,8/29/2023 11:44,11179,8/28/2023,VEGRDCVERS,0,0,0
240000754,7111,Zurichstraat;Sittard,8/28/2023 12:25,8/28/2023 12:41,30,20,2,0,0,12,14,0,JUMBO\MirandavanKessel,8/29/2023 11:31,11010,8/28/2023,VEGRDCVERS,0,0,1
240000755,3769,Kiosk;Venray,8/28/2023 12:00,8/28/2023 11:45,50,25,1,0,0,10,9,0,JUMBO\MirandavanKessel,8/29/2023 12:11,11077,8/28/2023,VEGRDCVERS,0,0,0
240000756,4705,Raadhuisstraat;Vught,8/28/2023 11:40,8/28/2023 12:55,35,19,1,0,0,11,5,0,JUMBO\MirandavanKessel,8/29/2023 12:02,11082,8/28/2023,VEGRDCVERS,0,0,0
