AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
247000459,3475,van Heijdenstraat;Lichtenvoorde,9/4/2023 8:35,9/4/2023 8:55,0,0,0,0,0,0,0,0,JUMBO\teunvlassak,9/4/2023 18:37,11501,9/4/2023,VEGRDCDKW4,0,0,0
247000460,6487,Adm de Ruyterstraat;Aalten,9/4/2023 9:25,9/4/2023 9:35,0,0,0,0,0,0,0,0,JUMBO\teunvlassak,9/4/2023 18:37,11501,9/4/2023,VEGRDCDKW4,0,0,0
247000461,4828,Europalaan;Winterswijk,9/4/2023 10:05,9/4/2023 10:10,90,0,0,0,0,0,0,0,JUMBO\teunvlassak,9/4/2023 18:38,11501,9/4/2023,VEGRDCDKW4,0,0,0
247000506,6536,Horsterweg;Sevenum,9/4/2023 8:13,9/4/2023 8:15,41,19,0,0,0,10,5,0,JUMBO\wesselthoonen,9/4/2023 13:26,11128,9/4/2023,VEGRDCDKW4,0,0,0
247001272,4828,Europalaan;Winterswijk,9/4/2023 7:00,9/4/2023 6:50,16,29,0,0,0,24,7,0,JUMBO\wesselthoonen,9/4/2023 13:37,11133,9/4/2023,VEGRDCVERS,2,0,0
247001273,6400,Loenenseweg;Eerbeek,9/4/2023 6:30,9/4/2023 6:10,25,16,8,0,0,8,6,0,JUMBO\wesselthoonen,9/4/2023 13:44,11046,9/4/2023,VEGRDCVERS,0,0,0
247001274,3656,Bloemenmarkt;Geleen,9/4/2023 6:00,9/4/2023 6:00,16,15,7,0,0,10,10,0,JUMBO\wesselthoonen,9/4/2023 13:42,11062,9/4/2023,VEGRDCVERS,0,0,0
247001275,3083,Stationsstraat;Deurne,9/4/2023 6:00,9/4/2023 6:00,15,19,0,0,0,10,6,0,JUMBO\wesselthoonen,9/4/2023 13:40,11119,9/4/2023,VEGRDCVERS,0,0,0
247001276,6537,Speelheuvelstraat;Someren,9/4/2023 6:00,9/4/2023 6:20,51,17,0,0,0,21,7,0,JUMBO\wesselthoonen,9/4/2023 13:41,11114,9/4/2023,VEGRDCVERS,0,0,2
247001277,1009,Sinttruidersteenweg;Stlambrecht,9/4/2023 7:00,9/4/2023 7:00,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/4/2023 13:19,11005,9/4/2023,VEGRDCVERS,0,0,0
247001278,7043,Carboonplein;Kerkrade,9/4/2023 6:00,9/4/2023 6:00,45,14,1,0,0,10,6,0,JUMBO\teunvlassak,9/4/2023 19:27,11001,9/4/2023,VEGRDCVERS,0,0,0
247001279,1028,Sportlaan;Bree,9/4/2023 6:19,9/4/2023 6:15,51,7,1,0,0,11,0,0,JUMBO\wesselthoonen,9/4/2023 13:19,11161,9/4/2023,VEGRDCVERS,0,0,0
247001280,4670,Stadsplein;S-Heerenberg,9/4/2023 6:30,9/4/2023 6:35,31,18,1,0,0,1,8,0,JUMBO\wesselthoonen,9/4/2023 13:34,11048,9/4/2023,VEGRDCVERS,0,0,0
247001295,3480,Brusselsepoort;Maastricht,9/4/2023 7:15,9/4/2023 7:10,10,24,0,0,0,10,8,0,JUMBO\wesselthoonen,9/4/2023 13:38,11066,9/4/2023,VEGRDCVERS,0,0,0
247001296,6471,Bergstraat;Zelhem,9/4/2023 7:15,9/4/2023 7:30,35,18,2,0,0,1,5,0,JUMBO\teunvlassak,9/4/2023 19:20,11044,9/4/2023,VEGRDCVERS,0,0,0
