AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
64001420,8833,Efc Den Bosch:Balkweg,3/4/2024 10:38,3/4/2024 10:24,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,3/4/2024 13:08,11196,3/4/2024,VEGRDCDKW6,0,0,26
64001421,8833,Efc Den Bosch:Balkweg,3/4/2024 5:45,3/4/2024 5:48,0,17,0,0,0,0,28,0,JUMBO\wesselthoonen,3/4/2024 11:01,11105,3/4/2024,VEGRDCDKW6,0,0,0
64001497,8833,Efc Den Bosch:Balkweg,3/4/2024 11:50,3/4/2024 10:30,0,17,0,0,0,0,28,0,JUMBO\wesselthoonen,3/4/2024 13:09,11087,3/4/2024,VEGRDCDKW4,0,0,0
64002772,4893,Kuilenstraat;Meerssen,3/4/2024 8:00,3/4/2024 8:10,0,12,0,0,0,0,0,0,JUMBO\wesselthoonen,3/4/2024 13:09,11018,3/4/2024,VEGRDCDKW4,0,0,0
64002773,3812,Smits van Oyenlaan;Maarheeze,3/4/2024 10:11,3/4/2024 10:20,0,11,4,0,0,10,5,0,JUMBO\wesselthoonen,3/5/2024 7:29,11158,3/4/2024,VEGRDCDKW4,0,0,0
64002774,3657,Dr Schaepmanstraat;Stramproy,3/4/2024 11:23,3/4/2024 11:23,5,19,0,0,0,10,2,0,JUMBO\wesselthoonen,3/5/2024 7:29,11158,3/4/2024,VEGRDCDKW4,0,0,0
64002779,7055,Jumbo Huus Pal,3/4/2024 6:00,,0,0,0,0,0,0,0,0,,,19204,3/4/2024,VEGRDCDKW4,0,0,0
64002789,6702,Jumbo Huus Vers,3/4/2024 6:00,,0,0,0,0,0,0,0,0,,,19201,3/4/2024,VEGRDCVERS,0,0,0
64002810,4935,Kennedylaan;Doetinchem,3/4/2024 8:59,3/4/2024 9:15,20,4,0,0,0,10,1,0,JUMBO\wesselthoonen,3/4/2024 13:10,11501,3/4/2024,VEGRDCDKW4,0,0,0
64002811,4938,S-Gravenswaardsedijk;Tolkamer,3/4/2024 10:10,3/4/2024 10:20,10,12,0,0,0,1,0,0,JUMBO\wesselthoonen,3/4/2024 13:09,11501,3/4/2024,VEGRDCDKW4,0,0,0
64003369,6600,Maaskantje;Den Dungen,3/4/2024 7:15,3/4/2024 7:20,36,23,0,0,0,12,8,0,JUMBO\wesselthoonen,3/4/2024 13:21,11116,3/4/2024,VEGRDCVERS,0,0,0
64003370,4884,Markt;Oirsbeek,3/4/2024 8:13,3/4/2024 8:50,31,20,1,0,0,11,7,0,JUMBO\wesselthoonen,3/4/2024 13:12,11021,3/4/2024,VEGRDCVERS,0,0,0
64003371,7043,Carboonplein;Kerkrade,3/4/2024 6:00,3/4/2024 6:00,45,18,0,0,0,1,5,0,JUMBO\wesselthoonen,3/4/2024 13:14,11114,3/4/2024,VEGRDCVERS,0,0,0
64003372,3455,Europaplein;Elst,3/4/2024 6:45,3/4/2024 7:10,20,16,0,0,0,10,6,0,JUMBO\wesselthoonen,3/4/2024 13:21,11040,3/4/2024,VEGRDCVERS,0,0,0
64003373,6400,Loenenseweg;Eerbeek,3/4/2024 6:30,3/4/2024 6:25,26,16,8,0,0,9,15,0,JUMBO\wesselthoonen,3/4/2024 13:14,11103,3/4/2024,VEGRDCVERS,0,0,0
