AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
57000687,8890,Balkweg; Efc Kantine,2/26/2024 8:51,2/26/2024 8:50,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/26/2024 12:35,11198,2/26/2024,VEGRDCVERS,0,0,0
57000688,8833,Efc Den Bosch:Balkweg,2/26/2024 9:00,2/26/2024 8:50,160,0,0,0,0,80,0,0,JUMBO\wesselthoonen,2/26/2024 12:35,11198,2/26/2024,VEGRDCVERS,0,0,0
57000719,3812,Smits van Oyenlaan;Maarheeze,2/26/2024 10:11,2/26/2024 11:11,5,8,3,0,0,10,4,0,JUMBO\wesselthoonen,2/27/2024 7:04,11158,2/26/2024,VEGRDCDKW4,0,0,0
57000720,3657,Dr Schaepmanstraat;Stramproy,2/26/2024 11:23,2/26/2024 12:08,10,14,1,0,0,10,6,0,JUMBO\wesselthoonen,2/27/2024 7:04,11158,2/26/2024,VEGRDCDKW4,0,0,0
57001090,7092,Vossenerlaan;Blerick,2/26/2024 12:00,2/26/2024 12:10,25,6,0,0,0,10,1,0,JUMBO\wesselthoonen,2/27/2024 7:04,11601,2/26/2024,VEGRDCDKW4,0,0,0
57001091,6536,Horsterweg;Sevenum,2/26/2024 11:15,2/26/2024 11:40,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/27/2024 7:03,11068,2/26/2024,VEGRDCDKW4,0,0,0
57001092,3769,Kiosk;Venray,2/26/2024 10:30,2/26/2024 10:38,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/27/2024 7:03,11068,2/26/2024,VEGRDCDKW4,0,0,0
57001580,3783,Heelweg;Dinxperlo,2/26/2024 10:45,2/26/2024 11:30,35,21,2,0,0,10,5,0,JUMBO\wesselthoonen,2/27/2024 7:47,11172,2/26/2024,VEGRDCVERS,0,0,0
57001581,3168,Auerschootseweg;Bakel,2/26/2024 10:43,2/26/2024 10:40,35,17,1,0,0,20,7,0,JUMBO\wesselthoonen,2/27/2024 7:54,11131,2/26/2024,VEGRDCVERS,0,0,0
57001582,3812,Smits van Oyenlaan;Maarheeze,2/26/2024 11:00,2/26/2024 11:05,10,5,2,0,0,0,1,0,JUMBO\wesselthoonen,2/27/2024 7:47,11042,2/26/2024,VEGRDCVERS,0,0,0
