AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
135000301,4608,Drossaard;Uden,5/15/2023 17:34,5/15/2023 16:30,51,16,0,0,0,10,5,0,JUMBO\wesselthoonen,5/16/2023 7:40,11208,5/15/2023,VEGRDCDKW4,0,12,2
135001089,8833,Efc Den Bosch:Balkweg,5/15/2023 17:20,,0,0,0,0,0,0,0,0,,,19169,5/15/2023,VEGRDCVERS,0,0,0
135001631,8833,Efc Den Bosch:Balkweg,5/15/2023 21:20,5/15/2023 20:20,0,31,0,0,0,0,14,0,JUMBO\wesselthoonen,5/16/2023 7:39,11004,5/15/2023,VEGRDCDKW6,0,0,0
135001632,8833,Efc Den Bosch:Balkweg,5/15/2023 21:58,5/15/2023 21:48,25,12,0,0,0,0,28,0,JUMBO\wesselthoonen,5/16/2023 7:39,11097,5/15/2023,VEGRDCDKW4,0,0,0
135003844,8833,Efc Den Bosch:Balkweg,5/15/2023 5:45,5/15/2023 9:15,5,16,0,0,0,0,28,0,JUMBO\MarcelVanLieshout,5/15/2023 13:43,11203,5/15/2023,VEGRDCDKW4,0,0,0
135003847,8833,Efc Den Bosch:Balkweg,5/15/2023 4:45,5/15/2023 4:30,140,0,0,0,0,120,0,0,JUMBO\wesselthoonen,5/15/2023 10:10,11041,5/15/2023,VEGRDCVERS,0,0,0
135003848,8890,Balkweg; Efc Kantine,5/15/2023 4:30,5/15/2023 4:30,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,5/15/2023 10:10,11041,5/15/2023,VEGRDCVERS,0,0,0
135003849,8833,Efc Den Bosch:Balkweg,5/15/2023 9:05,5/15/2023 9:20,0,0,0,0,0,0,0,0,JUMBO\MarcelVanLieshout,5/15/2023 13:45,11193,5/15/2023,VEGRDCDKW6,0,0,26
135003850,8833,Efc Den Bosch:Balkweg,5/15/2023 10:11,5/15/2023 12:07,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,5/16/2023 7:49,11115,5/15/2023,VEGRDCVERS,0,0,26
135005752,6536,Horsterweg;Sevenum,5/15/2023 8:13,5/15/2023 8:05,26,20,0,0,0,10,3,0,JUMBO\MarcelVanLieshout,5/15/2023 13:44,11128,5/15/2023,VEGRDCDKW6,0,0,0
135005753,5137,Stationsstraat;Veghel,5/15/2023 10:04,5/15/2023 9:58,0,3,0,0,0,0,0,0,JUMBO\MarcelVanLieshout,5/15/2023 13:44,11128,5/15/2023,VEGRDCDKW6,0,0,0
135005809,3416,Julianaplein;Zetten,5/15/2023 7:19,5/15/2023 7:15,40,19,1,0,0,10,4,0,JUMBO\VincentVanDerMierden,5/15/2023 13:57,11056,5/15/2023,VEGRDCVERS,0,0,0
135005810,4698,Oosterhof;Boxtel,5/15/2023 6:14,5/15/2023 6:12,41,18,0,0,0,11,11,0,JUMBO\VincentVanDerMierden,5/15/2023 14:06,11017,5/15/2023,VEGRDCVERS,0,0,0
135005811,4828,Europalaan;Winterswijk,5/15/2023 7:00,5/15/2023 7:05,26,26,1,0,0,14,4,0,JUMBO\VincentVanDerMierden,5/15/2023 13:51,11133,5/15/2023,VEGRDCVERS,1,0,0
135005812,4884,Markt;Oirsbeek,5/15/2023 8:45,5/15/2023 9:00,31,4,0,0,0,10,0,0,JUMBO\VincentVanDerMierden,5/15/2023 13:46,11152,5/15/2023,VEGRDCVERS,0,0,0
135005813,3171,Verbrughweg;Lienden,5/15/2023 6:54,5/15/2023 7:10,0,38,1,0,0,0,9,0,JUMBO\VincentVanDerMierden,5/15/2023 13:54,11009,5/15/2023,VEGRDCVERS,0,0,0
135005814,4834,Rembrandtplein;Nieuw Bergen,5/15/2023 6:30,5/15/2023 6:20,46,21,1,0,0,0,6,0,JUMBO\VincentVanDerMierden,5/15/2023 14:08,11094,5/15/2023,VEGRDCVERS,0,0,0
135005815,5135,Leenderweg;Valkenswaard,5/15/2023 7:15,5/15/2023 7:10,11,21,1,0,0,11,11,0,JUMBO\VincentVanDerMierden,5/15/2023 14:04,11106,5/15/2023,VEGRDCVERS,0,0,0
135005816,1009,Sinttruidersteenweg;Stlambrecht,5/15/2023 7:00,5/15/2023 7:00,30,9,1,0,0,11,0,0,JUMBO\MarcelVanLieshout,5/15/2023 13:34,11005,5/15/2023,VEGRDCVERS,0,0,0
135005817,3600,Kapelweg;Born,5/15/2023 7:05,5/15/2023 7:05,50,22,1,0,0,10,8,0,JUMBO\VincentVanDerMierden,5/15/2023 14:01,11060,5/15/2023,VEGRDCVERS,0,0,0
135005818,6702,Jumbo Huus Vers,5/15/2023 6:00,,0,0,0,0,0,0,0,0,,,19113,5/15/2023,VEGRDCVERS,0,0,0
135005819,3083,Stationsstraat;Deurne,5/15/2023 6:00,5/15/2023 5:20,30,14,0,0,0,10,6,0,JUMBO\VincentVanDerMierden,5/15/2023 14:08,11119,5/15/2023,VEGRDCVERS,0,0,0
135006429,6485,Burg. Verkuijlstraat;Boxmeer,5/15/2023 6:43,5/15/2023 6:55,25,20,0,0,0,10,4,0,JUMBO\VincentVanDerMierden,5/15/2023 14:09,11088,5/15/2023,VEGRDCVERS,0,0,0
135006430,1005,Steenweg;Lanaken,5/15/2023 7:00,5/15/2023 7:30,46,6,1,0,0,0,0,0,JUMBO\wesselthoonen,5/16/2023 7:30,11007,5/15/2023,VEGRDCVERS,0,0,0
135006431,7043,Carboonplein;Kerkrade,5/15/2023 6:00,5/15/2023 6:20,40,15,1,0,0,11,4,0,JUMBO\VincentVanDerMierden,5/15/2023 14:07,11001,5/15/2023,VEGRDCVERS,0,0,0
135006469,3656,Bloemenmarkt;Geleen,5/15/2023 6:00,5/15/2023 5:59,22,22,6,0,0,0,6,0,JUMBO\VincentVanDerMierden,5/15/2023 14:09,11062,5/15/2023,VEGRDCVERS,0,0,0
135006470,3147,Middelgraaf;Ulft,5/15/2023 7:00,5/15/2023 7:05,0,23,2,0,0,10,5,0,JUMBO\VincentVanDerMierden,5/15/2023 13:53,11050,5/15/2023,VEGRDCVERS,0,0,0
135006471,3763,Dempseystraat;Sittard,5/15/2023 7:15,5/15/2023 7:20,0,16,2,0,0,0,5,0,JUMBO\VincentVanDerMierden,5/15/2023 13:45,11074,5/15/2023,VEGRDCVERS,0,0,0
135006472,3480,Brusselsepoort;Maastricht,5/15/2023 7:15,5/15/2023 7:10,20,25,1,0,0,10,4,0,JUMBO\VincentVanDerMierden,5/15/2023 13:59,11066,5/15/2023,VEGRDCVERS,0,0,0
135006473,1028,Sportlaan;Bree,5/15/2023 6:19,5/15/2023 6:35,87,9,1,0,0,10,0,0,JUMBO\VincentVanDerMierden,5/15/2023 14:04,11161,5/15/2023,VEGRDCVERS,0,0,0
135006474,6400,Loenenseweg;Eerbeek,5/15/2023 6:30,5/15/2023 6:15,36,18,4,0,0,9,4,0,JUMBO\VincentVanDerMierden,5/15/2023 14:04,11046,5/15/2023,VEGRDCVERS,0,0,0
135006475,3487,Kerkstraat;Panningen,5/15/2023 6:15,5/15/2023 6:23,21,24,5,0,0,0,6,0,JUMBO\VincentVanDerMierden,5/15/2023 14:10,11086,5/15/2023,VEGRDCVERS,0,0,0
135006476,6537,Speelheuvelstraat;Someren,5/15/2023 6:00,5/15/2023 5:57,60,20,0,0,0,21,3,0,JUMBO\VincentVanDerMierden,5/15/2023 14:08,11114,5/15/2023,VEGRDCVERS,0,0,0
