AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
254000491,3475,van Heijdenstraat;Lichtenvoorde,9/11/2023 8:30,9/11/2023 8:40,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/12/2023 8:23,11500,9/11/2023,VEGRDCDKW6,0,0,0
254000492,4828,Europalaan;Winterswijk,9/11/2023 9:05,9/11/2023 9:11,80,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/12/2023 8:23,11500,9/11/2023,VEGRDCDKW6,0,0,0
254000581,6536,Horsterweg;Sevenum,9/11/2023 8:13,9/11/2023 8:06,46,22,0,0,0,7,0,0,JUMBO\wesselthoonen,9/11/2023 13:08,11128,9/11/2023,VEGRDCDKW4,0,0,0
254001428,4942,Fenikshof; Nijmegen,9/11/2023 10:01,9/11/2023 10:01,115,8,0,0,0,10,2,0,JUMBO\wesselthoonen,9/11/2023 13:09,11204,9/11/2023,VEGRDCDKW4,0,0,0
254001533,7043,Carboonplein;Kerkrade,9/11/2023 6:00,9/11/2023 6:19,45,4,0,0,0,20,5,0,JUMBO\wesselthoonen,9/11/2023 13:35,11001,9/11/2023,VEGRDCVERS,0,0,0
254001534,1028,Sportlaan;Bree,9/11/2023 6:19,9/11/2023 6:10,36,10,0,0,0,1,0,0,JUMBO\wesselthoonen,9/11/2023 13:03,11161,9/11/2023,VEGRDCVERS,0,0,0
254001535,4828,Europalaan;Winterswijk,9/11/2023 7:00,9/11/2023 7:10,10,27,1,0,0,22,11,0,JUMBO\wesselthoonen,9/11/2023 13:19,11133,9/11/2023,VEGRDCVERS,2,0,0
254001536,3083,Stationsstraat;Deurne,9/11/2023 6:00,9/11/2023 6:00,15,20,0,0,0,11,7,0,JUMBO\wesselthoonen,9/11/2023 13:32,11119,9/11/2023,VEGRDCVERS,0,0,0
254001537,1009,Sinttruidersteenweg;Stlambrecht,9/11/2023 7:00,9/11/2023 7:00,35,6,1,0,0,11,0,0,JUMBO\wesselthoonen,9/11/2023 13:03,11005,9/11/2023,VEGRDCVERS,0,0,0
254001538,3656,Bloemenmarkt;Geleen,9/11/2023 6:00,9/11/2023 5:35,11,16,6,0,0,10,11,0,JUMBO\wesselthoonen,9/11/2023 13:36,11062,9/11/2023,VEGRDCVERS,0,0,0
254001539,6400,Loenenseweg;Eerbeek,9/11/2023 6:30,9/11/2023 6:41,26,17,6,0,0,6,4,0,JUMBO\wesselthoonen,9/11/2023 13:27,11046,9/11/2023,VEGRDCVERS,0,0,0
254001540,4670,Stadsplein;S-Heerenberg,9/11/2023 6:30,9/11/2023 6:30,35,16,1,0,0,9,5,0,JUMBO\wesselthoonen,9/11/2023 13:28,11048,9/11/2023,VEGRDCVERS,0,0,0
