AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
212001113,8833,Efc Den Bosch:Balkweg,7/31/2023 22:20,7/31/2023 21:23,0,31,0,0,0,0,14,0,JUMBO\wesselthoonen,8/1/2023 9:57,11004,7/31/2023,VEGRDCDKW6,0,0,0
212001203,8833,Efc Den Bosch:Balkweg,7/31/2023 22:00,7/31/2023 19:00,0,30,0,0,0,10,14,0,JUMBO\wesselthoonen,8/1/2023 9:57,11097,7/31/2023,VEGRDCDKW4,0,0,0
212003800,8833,Efc Den Bosch:Balkweg,7/31/2023 10:20,7/31/2023 10:00,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,8/1/2023 7:19,11203,7/31/2023,VEGRDCDKW4,0,0,26
212003818,8890,Balkweg; Efc Kantine,7/31/2023 6:30,7/31/2023 6:40,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/31/2023 11:40,11041,7/31/2023,VEGRDCVERS,0,0,0
212003819,8833,Efc Den Bosch:Balkweg,7/31/2023 6:40,7/31/2023 6:40,0,48,0,0,0,0,0,0,JUMBO\wesselthoonen,7/31/2023 11:40,11041,7/31/2023,VEGRDCVERS,0,0,0
212003820,8833,Efc Den Bosch:Balkweg,7/31/2023 4:45,7/31/2023 5:30,55,18,0,0,0,0,18,0,JUMBO\MarcelVanLieshout,7/31/2023 10:35,11181,7/31/2023,VEGRDCVERS,0,0,0
212005002,4698,Oosterhof;Boxtel,7/31/2023 6:14,7/31/2023 6:30,26,10,0,0,0,11,0,0,JUMBO\wesselthoonen,7/31/2023 11:39,11017,7/31/2023,VEGRDCVERS,0,0,0
212005003,4834,Rembrandtplein;Nieuw Bergen,7/31/2023 6:30,7/31/2023 7:00,21,15,2,0,0,1,9,0,JUMBO\wesselthoonen,7/31/2023 11:32,11094,7/31/2023,VEGRDCVERS,0,0,0
212005004,6386,Roserije;Maastricht,7/31/2023 8:55,7/31/2023 9:05,23,12,1,0,0,1,7,0,JUMBO\wesselthoonen,7/31/2023 13:39,11070,7/31/2023,VEGRDCVERS,0,0,0
212005005,1009,Sinttruidersteenweg;Stlambrecht,7/31/2023 7:00,,0,0,0,0,0,0,0,0,,,11005,7/31/2023,VEGRDCVERS,0,0,0
212005006,7092,Vossenerlaan;Blerick,7/31/2023 7:00,7/31/2023 7:15,55,11,1,0,0,11,7,0,JUMBO\wesselthoonen,7/31/2023 11:32,11150,7/31/2023,VEGRDCVERS,0,0,0
212005007,4828,Europalaan;Winterswijk,7/31/2023 7:00,7/31/2023 7:08,2,27,1,0,0,24,8,0,JUMBO\wesselthoonen,7/31/2023 13:43,11133,7/31/2023,VEGRDCVERS,2,0,0
212005008,5748,Diderna;Dieren,7/31/2023 8:30,7/31/2023 8:20,25,17,0,0,0,10,7,0,JUMBO\wesselthoonen,7/31/2023 13:41,11054,7/31/2023,VEGRDCVERS,0,0,0
212005009,3083,Stationsstraat;Deurne,7/31/2023 6:00,7/31/2023 6:05,20,14,1,0,0,10,7,0,JUMBO\wesselthoonen,7/31/2023 11:39,11119,7/31/2023,VEGRDCVERS,0,0,0
212005010,3171,Verbrughweg;Lienden,7/31/2023 6:54,7/31/2023 7:20,15,26,1,0,0,1,14,0,JUMBO\wesselthoonen,7/31/2023 11:33,11009,7/31/2023,VEGRDCVERS,0,0,0
212005133,6487,Adm de Ruyterstraat;Aalten,7/31/2023 10:00,7/31/2023 10:00,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/31/2023 13:38,11500,7/31/2023,VEGRDCDKW4,0,0,0
212005134,4828,Europalaan;Winterswijk,7/31/2023 9:10,7/31/2023 9:10,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/31/2023 13:39,11500,7/31/2023,VEGRDCDKW4,0,0,0
