AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
338000296,3126,Nederlandplein;Eindhoven,12/4/2023 16:40,12/4/2023 17:00,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/5/2023 8:30,11613,12/4/2023,VEGRDCDKW4,0,0,0
338000297,3451,Willibrorduslaan;Eersel,12/4/2023 17:10,12/4/2023 18:20,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/5/2023 8:33,11611,12/4/2023,VEGRDCDKW4,0,0,0
338000298,3179,de Loop;Oirschot,12/4/2023 16:25,12/4/2023 17:30,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/5/2023 8:28,11611,12/4/2023,VEGRDCDKW4,0,0,0
338000299,5117,Schoolstraat;Reusel,12/4/2023 18:00,12/4/2023 19:00,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/5/2023 8:33,11611,12/4/2023,VEGRDCDKW4,0,0,0
338000391,3083,Stationsstraat;Deurne,12/4/2023 17:40,12/4/2023 18:50,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/5/2023 8:33,11612,12/4/2023,VEGRDCDKW4,0,0,0
338000715,6598,Jumbo-Huus,12/4/2023 6:00,12/4/2023 6:00,20,0,0,0,0,0,0,0,JUMBO\VincentVanDerMierden,12/12/2023 13:51,19201,12/4/2023,VEGRDCDKW4,0,0,6
338000717,7055,Jumbo Huus Pal,12/4/2023 6:00,12/4/2023 6:00,0,0,0,0,0,0,0,0,JUMBO\VincentVanDerMierden,12/12/2023 13:51,19204,12/4/2023,VEGRDCDKW4,0,0,0
338000725,6702,Jumbo Huus Vers,12/4/2023 6:00,12/4/2023 6:00,20,4,0,0,0,0,0,0,JUMBO\VincentVanDerMierden,12/12/2023 13:50,19201,12/4/2023,VEGRDCVERS,0,0,10
338003754,8833,Efc Den Bosch:Balkweg,12/4/2023 9:05,12/4/2023 9:15,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/4/2023 13:03,11197,12/4/2023,VEGRDCDKW6,0,0,26
338003756,8833,Efc Den Bosch:Balkweg,12/4/2023 5:30,12/4/2023 6:10,0,25,0,0,0,0,20,0,JUMBO\wesselthoonen,12/5/2023 8:34,11106,12/4/2023,VEGRDCDKW6,0,0,0
338003761,8833,Efc Den Bosch:Balkweg,12/4/2023 8:20,12/4/2023 8:55,75,23,0,0,0,0,10,0,JUMBO\wesselthoonen,12/4/2023 13:03,11088,12/4/2023,VEGRDCDKW4,0,0,0
338003762,8833,Efc Den Bosch:Balkweg,12/4/2023 9:45,12/4/2023 10:10,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/5/2023 8:34,11143,12/4/2023,VEGRDCDKW4,0,0,26
338005087,6537,Speelheuvelstraat;Someren,12/4/2023 6:00,12/4/2023 6:16,50,20,1,0,0,22,4,0,JUMBO\wesselthoonen,12/4/2023 11:49,11028,12/4/2023,VEGRDCVERS,0,0,0
338005088,3656,Bloemenmarkt;Geleen,12/4/2023 6:00,12/4/2023 6:10,21,19,7,0,0,10,9,0,JUMBO\wesselthoonen,12/4/2023 11:45,11142,12/4/2023,VEGRDCVERS,0,0,0
338005089,4828,Europalaan;Winterswijk,12/4/2023 7:00,12/4/2023 7:00,35,25,0,0,0,2,6,0,JUMBO\wesselthoonen,12/5/2023 9:14,11074,12/4/2023,VEGRDCVERS,0,12,0
338005090,1028,Sportlaan;Bree,12/4/2023 6:00,12/4/2023 6:00,35,11,1,0,0,10,0,0,JUMBO\wesselthoonen,12/4/2023 11:13,11076,12/4/2023,VEGRDCVERS,0,0,0
338005091,4670,Stadsplein;S-Heerenberg,12/4/2023 6:30,12/4/2023 8:40,22,19,1,0,0,10,6,0,JUMBO\wesselthoonen,12/4/2023 13:07,11171,12/4/2023,VEGRDCVERS,0,0,0
338005092,7043,Carboonplein;Kerkrade,12/4/2023 6:00,12/4/2023 5:45,30,17,0,0,0,1,5,0,JUMBO\wesselthoonen,12/4/2023 11:52,11115,12/4/2023,VEGRDCVERS,0,0,0
338005093,6406,Kloosterplaats;Bemmel,12/4/2023 6:07,12/4/2023 6:00,0,12,6,0,0,0,6,0,JUMBO\wesselthoonen,12/4/2023 11:47,11048,12/4/2023,VEGRDCVERS,0,0,0
338005094,3487,Kerkstraat;Panningen,12/4/2023 6:15,12/4/2023 5:55,21,20,5,0,0,10,7,0,JUMBO\wesselthoonen,12/4/2023 11:47,11149,12/4/2023,VEGRDCVERS,0,0,0
338005095,6400,Loenenseweg;Eerbeek,12/4/2023 6:30,12/4/2023 6:20,21,14,6,0,0,11,4,0,JUMBO\wesselthoonen,12/4/2023 11:41,11104,12/4/2023,VEGRDCVERS,0,0,0
338005096,3113,Portbeemden; Eygelshoven,12/4/2023 7:00,12/4/2023 7:00,21,10,0,0,0,11,1,0,JUMBO\wesselthoonen,12/4/2023 11:42,11127,12/4/2023,VEGRDCVERS,0,0,0
338005143,4891,Roersingelpassage;Roermond,12/4/2023 7:00,12/4/2023 7:00,45,17,0,0,0,10,4,0,JUMBO\wesselthoonen,12/4/2023 11:46,11109,12/4/2023,VEGRDCVERS,0,0,0
338005144,3179,de Loop;Oirschot,12/4/2023 7:44,12/4/2023 8:10,25,16,1,0,0,10,3,0,JUMBO\wesselthoonen,12/4/2023 11:45,11052,12/4/2023,VEGRDCVERS,0,0,0
338005148,5135,Leenderweg;Valkenswaard,12/4/2023 7:15,12/4/2023 7:15,5,17,2,0,0,1,14,0,JUMBO\wesselthoonen,12/4/2023 13:07,11137,12/4/2023,VEGRDCVERS,0,0,0
338005149,7092,Vossenerlaan;Blerick,12/4/2023 7:00,12/4/2023 6:55,46,13,2,0,0,1,6,0,JUMBO\wesselthoonen,12/4/2023 11:52,11099,12/4/2023,VEGRDCVERS,0,0,1
338005150,3455,Europaplein;Elst,12/4/2023 6:45,12/4/2023 8:05,35,15,1,0,0,11,4,0,JUMBO\wesselthoonen,12/4/2023 13:11,11041,12/4/2023,VEGRDCVERS,0,0,0
338005256,6400,Loenenseweg;Eerbeek,12/4/2023 9:00,12/4/2023 9:15,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/4/2023 13:02,11504,12/4/2023,VEGRDCDKW4,0,0,0
338005265,4828,Europalaan;Winterswijk,12/4/2023 8:05,12/4/2023 8:05,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/4/2023 13:03,11502,12/4/2023,VEGRDCDKW4,0,0,0
338005834,6193,het Straatje;Gennep,12/4/2023 6:00,12/4/2023 6:10,20,4,2,0,0,11,5,0,JUMBO\wesselthoonen,12/4/2023 11:49,11032,12/4/2023,VEGRDCVERS,0,0,0
338005835,6487,Adm de Ruyterstraat;Aalten,12/4/2023 7:00,12/4/2023 7:00,50,21,0,0,0,11,5,0,JUMBO\wesselthoonen,12/4/2023 11:43,11113,12/4/2023,VEGRDCVERS,0,0,0
338005836,6205,Walramplein;Valkenburg,12/4/2023 7:00,12/4/2023 7:00,25,12,1,0,0,0,4,0,JUMBO\wesselthoonen,12/4/2023 13:11,11175,12/4/2023,VEGRDCVERS,0,0,0
