AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
36001320,6598,Jumbo-Huus,2/5/2024 6:00,2/5/2024 7:50,30,9,0,1,0,0,1,0,JUMBO\VincentVanDerMierden,2/14/2024 13:26,19201,2/5/2024,VEGRDCDKW4,0,0,2
36001321,7055,Jumbo Huus Pal,2/5/2024 6:00,2/5/2024 7:50,0,0,0,0,0,0,0,0,JUMBO\VincentVanDerMierden,2/14/2024 13:26,19204,2/5/2024,VEGRDCDKW4,0,0,0
36001325,6702,Jumbo Huus Vers,2/5/2024 6:00,2/5/2024 6:00,10,3,0,0,0,0,0,0,JUMBO\VincentVanDerMierden,2/14/2024 13:21,19201,2/5/2024,VEGRDCVERS,0,0,0
36004880,8833,Efc Den Bosch:Balkweg,2/5/2024 6:55,2/5/2024 7:45,0,95,0,0,0,220,0,0,JUMBO\wesselthoonen,2/6/2024 7:01,11142,2/5/2024,VEGRDCDKW4,0,0,0
36004881,8833,Efc Den Bosch:Balkweg,2/5/2024 6:15,2/5/2024 6:35,0,23,0,0,0,0,22,0,JUMBO\wesselthoonen,2/5/2024 10:42,11087,2/5/2024,VEGRDCDKW4,0,0,0
36004899,8833,Efc Den Bosch:Balkweg,2/5/2024 10:38,2/5/2024 10:50,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/6/2024 7:02,11196,2/5/2024,VEGRDCDKW6,0,0,26
36004902,8833,Efc Den Bosch:Balkweg,2/5/2024 5:45,2/5/2024 5:45,0,20,0,0,0,0,25,0,JUMBO\wesselthoonen,2/5/2024 10:42,11105,2/5/2024,VEGRDCDKW6,0,0,0
36005881,4828,Europalaan;Winterswijk,2/5/2024 8:00,2/5/2024 8:15,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/5/2024 12:57,11503,2/5/2024,VEGRDCDKW4,0,0,0
36005882,6487,Adm de Ruyterstraat;Aalten,2/5/2024 8:45,2/5/2024 8:55,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/5/2024 12:56,11503,2/5/2024,VEGRDCDKW4,0,0,0
36006718,3555,Pettelaarseweg;Den Bosch,2/5/2024 7:40,2/5/2024 7:40,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/6/2024 6:59,11508,2/5/2024,VEGRDCDKW6,0,0,0
36006719,4848,Rompertpassage;Den Bosch,2/5/2024 8:05,2/5/2024 8:15,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/6/2024 6:59,11508,2/5/2024,VEGRDCDKW6,0,0,0
36006722,5140,Plein;Vlijmen,2/5/2024 8:30,2/5/2024 8:30,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/6/2024 6:59,11508,2/5/2024,VEGRDCDKW6,0,0,0
36006738,5137,Stationsstraat;Veghel,2/5/2024 9:40,2/5/2024 9:10,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,2/5/2024 12:57,11507,2/5/2024,VEGRDCDKW4,0,0,0
36006754,4828,Europalaan;Winterswijk,2/5/2024 7:00,2/5/2024 7:17,20,24,1,0,0,12,9,0,JUMBO\wesselthoonen,2/5/2024 12:50,11073,2/5/2024,VEGRDCVERS,0,0,0
36006755,3656,Bloemenmarkt;Geleen,2/5/2024 6:00,2/5/2024 6:00,20,19,6,0,0,0,8,0,JUMBO\wesselthoonen,2/5/2024 10:51,11141,2/5/2024,VEGRDCVERS,0,0,0
36006756,7043,Carboonplein;Kerkrade,2/5/2024 6:00,2/5/2024 6:15,30,19,0,0,0,1,5,0,JUMBO\wesselthoonen,2/5/2024 10:53,11114,2/5/2024,VEGRDCVERS,0,0,0
36006757,1028,Sportlaan;Bree,2/5/2024 6:00,2/5/2024 6:13,56,6,0,0,0,10,0,0,JUMBO\wesselthoonen,2/5/2024 10:36,11075,2/5/2024,VEGRDCVERS,0,0,0
36006758,4670,Stadsplein;S-Heerenberg,2/5/2024 6:30,2/5/2024 6:25,30,18,2,0,0,10,6,0,JUMBO\wesselthoonen,2/5/2024 10:56,11170,2/5/2024,VEGRDCVERS,0,0,0
36006759,3113,Portbeemden; Eygelshoven,2/5/2024 7:00,2/5/2024 7:00,25,12,0,0,0,10,6,0,JUMBO\wesselthoonen,2/5/2024 10:53,11126,2/5/2024,VEGRDCVERS,0,0,0
36006760,6400,Loenenseweg;Eerbeek,2/5/2024 6:30,2/5/2024 6:35,30,17,5,0,0,7,13,0,JUMBO\wesselthoonen,2/5/2024 10:53,11103,2/5/2024,VEGRDCVERS,0,0,0
36006761,6406,Kloosterplaats;Bemmel,2/5/2024 6:07,2/5/2024 6:15,0,13,5,0,0,0,6,0,JUMBO\wesselthoonen,2/5/2024 10:55,11047,2/5/2024,VEGRDCVERS,0,0,0
36006762,6537,Speelheuvelstraat;Someren,2/5/2024 6:00,2/5/2024 6:00,50,21,0,0,0,12,4,0,JUMBO\wesselthoonen,2/5/2024 11:01,11027,2/5/2024,VEGRDCVERS,0,0,0
36006763,6487,Adm de Ruyterstraat;Aalten,2/5/2024 7:00,2/5/2024 7:00,25,31,0,0,0,10,6,0,JUMBO\wesselthoonen,2/5/2024 10:56,11112,2/5/2024,VEGRDCVERS,0,0,0
36006764,4698,Oosterhof;Boxtel,2/5/2024 6:00,2/5/2024 6:15,56,14,1,0,0,11,7,0,JUMBO\wesselthoonen,2/5/2024 11:01,11064,2/5/2024,VEGRDCVERS,0,0,0
36006765,6193,het Straatje;Gennep,2/5/2024 6:00,2/5/2024 6:40,41,5,1,0,0,10,6,0,JUMBO\wesselthoonen,2/6/2024 7:26,11031,2/5/2024,VEGRDCVERS,0,0,0
36006766,7128,Sint Agnesplein;Bunde,2/5/2024 7:00,2/5/2024 7:33,0,11,1,0,0,0,4,0,JUMBO\wesselthoonen,2/5/2024 12:45,11122,2/5/2024,VEGRDCVERS,0,0,0
36006767,3083,Stationsstraat;Deurne,2/5/2024 6:00,2/5/2024 5:45,10,18,1,0,0,1,6,0,JUMBO\wesselthoonen,2/5/2024 11:00,11062,2/5/2024,VEGRDCVERS,0,0,0
