AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
261000460,8833,Efc Den Bosch:Balkweg,9/18/2023 5:45,9/18/2023 6:30,0,17,0,0,0,0,28,0,JUMBO\wesselthoonen,9/18/2023 11:29,11203,9/18/2023,VEGRDCDKW4,0,0,0
261000477,8833,Efc Den Bosch:Balkweg,9/18/2023 10:57,9/18/2023 9:40,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/18/2023 13:33,11193,9/18/2023,VEGRDCDKW6,0,0,26
261000478,8833,Efc Den Bosch:Balkweg,9/18/2023 4:45,9/18/2023 4:30,110,0,0,0,0,140,0,0,JUMBO\wesselthoonen,9/18/2023 9:45,11041,9/18/2023,VEGRDCVERS,0,0,0
261000481,8890,Balkweg; Efc Kantine,9/18/2023 4:30,9/18/2023 4:30,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/18/2023 9:45,11041,9/18/2023,VEGRDCVERS,0,0,0
261000482,8833,Efc Den Bosch:Balkweg,9/18/2023 10:11,9/18/2023 9:14,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/18/2023 13:39,11115,9/18/2023,VEGRDCVERS,0,0,26
261001523,6702,Jumbo Huus Vers,9/18/2023 6:00,,0,0,0,0,0,0,0,0,,,19112,9/18/2023,VEGRDCVERS,0,0,0
261001561,7055,Jumbo Huus Pal,9/18/2023 6:00,,0,0,0,0,0,0,0,0,,,19113,9/18/2023,VEGRDCDKW4,0,0,0
261001562,6598,Jumbo-Huus,9/18/2023 6:00,,0,0,0,0,0,0,0,0,,,19110,9/18/2023,VEGRDCDKW4,0,0,0
261001938,6536,Horsterweg;Sevenum,9/18/2023 8:13,9/18/2023 8:14,11,25,0,0,0,20,6,0,JUMBO\wesselthoonen,9/18/2023 11:29,11128,9/18/2023,VEGRDCDKW6,0,0,0
261001939,5137,Stationsstraat;Veghel,9/18/2023 10:04,9/18/2023 10:04,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,9/18/2023 11:29,11128,9/18/2023,VEGRDCDKW6,0,0,0
