AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
29001154,7055,Jumbo Huus Pal,1/29/2024 6:00,,0,0,0,0,0,0,0,0,,,19204,1/29/2024,VEGRDCDKW4,0,0,0
29001155,6702,Jumbo Huus Vers,1/29/2024 6:00,,0,0,0,0,0,0,0,0,,,19201,1/29/2024,VEGRDCVERS,0,0,0
29003674,8833,Efc Den Bosch:Balkweg,1/29/2024 8:00,1/29/2024 18:15,0,3,0,0,0,0,42,0,JUMBO\wesselthoonen,1/29/2024 10:43,11142,1/29/2024,VEGRDCDKW6,0,0,0
29003702,8833,Efc Den Bosch:Balkweg,1/29/2024 5:45,1/29/2024 6:12,0,20,0,0,0,0,25,0,JUMBO\wesselthoonen,1/30/2024 7:01,11105,1/29/2024,VEGRDCDKW4,0,0,0
29003703,8833,Efc Den Bosch:Balkweg,1/29/2024 10:25,1/29/2024 10:38,0,24,0,0,0,0,23,0,JUMBO\wesselthoonen,1/30/2024 6:55,11196,1/29/2024,VEGRDCDKW4,0,0,0
29005032,3171,Verbrughweg;Lienden,1/29/2024 8:00,1/29/2024 8:45,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,1/29/2024 12:54,11503,1/29/2024,VEGRDCDKW4,0,0,0
29005625,6537,Speelheuvelstraat;Someren,1/29/2024 6:00,1/29/2024 6:00,55,23,0,0,0,2,4,0,JUMBO\wesselthoonen,1/29/2024 11:01,11027,1/29/2024,VEGRDCVERS,0,0,0
29005626,1005,Steenweg;Lanaken,1/29/2024 7:00,1/29/2024 7:30,15,8,1,0,0,10,0,0,JUMBO\wesselthoonen,1/29/2024 12:38,11187,1/29/2024,VEGRDCVERS,0,0,0
29005627,3083,Stationsstraat;Deurne,1/29/2024 6:00,1/29/2024 6:00,35,18,0,0,0,10,6,0,JUMBO\wesselthoonen,1/30/2024 7:18,11062,1/29/2024,VEGRDCVERS,0,0,0
29005628,1028,Sportlaan;Bree,1/29/2024 6:00,1/29/2024 5:46,5,27,1,0,0,31,0,0,JUMBO\wesselthoonen,1/29/2024 10:26,11075,1/29/2024,VEGRDCVERS,0,0,0
29005629,4828,Europalaan;Winterswijk,1/29/2024 7:00,1/29/2024 7:30,20,30,1,0,0,12,6,0,JUMBO\wesselthoonen,1/29/2024 12:48,11073,1/29/2024,VEGRDCVERS,0,0,0
29005630,3113,Portbeemden; Eygelshoven,1/29/2024 7:00,1/29/2024 7:00,15,13,0,0,0,11,5,0,JUMBO\wesselthoonen,1/29/2024 10:58,11126,1/29/2024,VEGRDCVERS,0,0,0
29005631,6406,Kloosterplaats;Bemmel,1/29/2024 6:07,1/29/2024 6:21,20,18,6,0,0,0,0,0,JUMBO\wesselthoonen,1/29/2024 10:52,11047,1/29/2024,VEGRDCVERS,0,0,0
29005632,7043,Carboonplein;Kerkrade,1/29/2024 6:00,1/29/2024 6:05,20,18,1,0,0,20,2,0,JUMBO\wesselthoonen,1/29/2024 10:50,11114,1/29/2024,VEGRDCVERS,0,0,0
29005633,7128,Sint Agnesplein;Bunde,1/29/2024 7:00,1/29/2024 7:00,25,13,1,0,0,10,5,0,JUMBO\wesselthoonen,1/29/2024 10:58,11122,1/29/2024,VEGRDCVERS,0,0,0
29005634,3656,Bloemenmarkt;Geleen,1/29/2024 6:00,1/29/2024 6:15,21,17,5,0,0,10,8,0,JUMBO\wesselthoonen,1/29/2024 10:56,11141,1/29/2024,VEGRDCVERS,0,0,0
29005635,3487,Kerkstraat;Panningen,1/29/2024 6:15,1/29/2024 6:25,30,19,8,0,0,0,8,0,JUMBO\wesselthoonen,1/29/2024 11:03,11148,1/29/2024,VEGRDCVERS,0,0,0
29005636,6400,Loenenseweg;Eerbeek,1/29/2024 6:30,1/29/2024 6:30,26,19,0,0,0,16,10,0,JUMBO\wesselthoonen,1/29/2024 11:00,11103,1/29/2024,VEGRDCVERS,0,0,0
29005637,6205,Walramplein;Valkenburg,1/29/2024 7:00,1/29/2024 7:10,20,8,0,0,0,2,3,0,JUMBO\wesselthoonen,1/29/2024 12:49,11174,1/29/2024,VEGRDCVERS,0,0,0
29005638,4670,Stadsplein;S-Heerenberg,1/29/2024 6:30,1/29/2024 6:35,40,19,2,0,0,10,6,0,JUMBO\wesselthoonen,1/29/2024 12:45,11170,1/29/2024,VEGRDCVERS,0,0,0
29005639,6487,Adm de Ruyterstraat;Aalten,1/29/2024 7:00,1/29/2024 6:55,45,17,1,0,0,20,13,0,JUMBO\wesselthoonen,1/29/2024 12:44,11112,1/29/2024,VEGRDCVERS,0,0,0
29005640,6193,het Straatje;Gennep,1/29/2024 6:00,1/29/2024 6:11,21,4,1,0,0,1,5,0,JUMBO\wesselthoonen,1/29/2024 11:03,11031,1/29/2024,VEGRDCVERS,0,0,0
29005693,4698,Oosterhof;Boxtel,1/29/2024 6:00,1/29/2024 6:20,56,20,0,1,0,10,6,0,JUMBO\wesselthoonen,1/29/2024 11:01,11064,1/29/2024,VEGRDCVERS,0,0,0
29005712,6234,Sint Jansplein;Swalmen,1/29/2024 7:00,1/29/2024 7:00,25,14,0,0,0,0,6,0,JUMBO\wesselthoonen,1/29/2024 12:50,11208,1/29/2024,VEGRDCVERS,0,0,0
29005717,6533,Malbergsingel;Maastricht,1/29/2024 7:30,1/29/2024 7:28,46,13,1,0,0,0,6,0,JUMBO\wesselthoonen,1/29/2024 10:50,11128,1/29/2024,VEGRDCVERS,0,0,0
29005720,4891,Roersingelpassage;Roermond,1/29/2024 7:00,1/29/2024 6:55,56,14,1,0,0,0,4,0,JUMBO\wesselthoonen,1/29/2024 10:46,11108,1/29/2024,VEGRDCVERS,0,0,0
29005724,3455,Europaplein;Elst,1/29/2024 6:45,1/29/2024 7:15,30,10,1,0,0,1,5,0,JUMBO\wesselthoonen,1/29/2024 11:00,11040,1/29/2024,VEGRDCVERS,0,0,0
29005725,1009,Sinttruidersteenweg;Stlambrecht,1/29/2024 8:10,1/29/2024 8:20,65,12,0,0,0,20,0,0,JUMBO\wesselthoonen,1/29/2024 12:38,11010,1/29/2024,VEGRDCVERS,0,0,0
29005726,4860,Past.Poellplein;Gemert,1/29/2024 6:00,1/29/2024 6:00,45,15,1,0,0,11,6,0,JUMBO\wesselthoonen,1/29/2024 11:01,11182,1/29/2024,VEGRDCVERS,0,0,0
29005727,6233,Kasteel Hornstraat;Roermond,1/29/2024 7:00,1/29/2024 7:19,39,10,0,0,0,10,0,0,JUMBO\wesselthoonen,1/29/2024 10:50,11207,1/29/2024,VEGRDCVERS,0,0,0
29005728,3171,Verbrughweg;Lienden,1/29/2024 6:30,1/29/2024 6:50,0,27,1,0,0,0,13,0,JUMBO\wesselthoonen,1/29/2024 10:56,11067,1/29/2024,VEGRDCVERS,0,0,0
29005729,6485,Burg. Verkuijlstraat;Boxmeer,1/29/2024 6:30,1/29/2024 7:10,55,17,0,0,0,11,6,0,JUMBO\wesselthoonen,1/29/2024 10:50,11150,1/29/2024,VEGRDCVERS,0,0,0
29005730,7092,Vossenerlaan;Blerick,1/29/2024 7:00,1/29/2024 7:00,30,9,0,0,0,10,0,0,JUMBO\wesselthoonen,1/29/2024 12:44,11098,1/29/2024,VEGRDCVERS,0,0,0
29005731,3188,Wieenpassage;Venlo,1/29/2024 7:00,1/29/2024 7:05,50,16,0,0,0,10,6,0,JUMBO\wesselthoonen,1/29/2024 12:45,11189,1/29/2024,VEGRDCVERS,0,0,0
29005732,6427,Wolfskooi;Oss,1/29/2024 6:30,1/29/2024 6:35,40,15,1,0,0,10,9,0,JUMBO\wesselthoonen,1/29/2024 11:02,11060,1/29/2024,VEGRDCVERS,0,0,0
29005733,4884,Markt;Oirsbeek,1/29/2024 8:13,1/29/2024 8:50,21,19,1,0,1,12,8,0,JUMBO\wesselthoonen,1/30/2024 7:49,11021,1/29/2024,VEGRDCVERS,0,0,0
29005734,3454,Basilica;Elst,1/29/2024 7:00,1/29/2024 7:30,25,15,1,0,0,0,6,0,JUMBO\wesselthoonen,1/29/2024 10:55,11501,1/29/2024,VEGRDCVERS,0,0,0
29005735,4608,Drossaard;Uden,1/29/2024 6:59,1/29/2024 7:00,21,29,1,0,0,20,9,0,JUMBO\wesselthoonen,1/29/2024 11:02,11130,1/29/2024,VEGRDCVERS,0,0,0
29005740,6231,Maastrichterlaan;Beek,1/29/2024 9:00,1/29/2024 9:55,0,18,1,0,0,10,4,0,JUMBO\wesselthoonen,1/30/2024 8:02,11018,1/29/2024,VEGRDCVERS,0,0,0
29005743,3475,van Heijdenstraat;Lichtenvoorde,1/29/2024 7:45,1/29/2024 8:05,30,13,1,0,0,10,4,0,JUMBO\wesselthoonen,1/29/2024 12:50,11101,1/29/2024,VEGRDCVERS,0,0,0
29005746,5748,Diderna;Dieren,1/29/2024 7:23,1/29/2024 7:30,24,18,1,0,0,10,4,0,JUMBO\wesselthoonen,1/30/2024 7:34,11502,1/29/2024,VEGRDCVERS,0,0,0
29005751,6471,Bergstraat;Zelhem,1/29/2024 7:53,1/29/2024 8:00,37,15,1,0,0,1,6,0,JUMBO\wesselthoonen,1/29/2024 12:48,11165,1/29/2024,VEGRDCVERS,0,0,0
29005752,3814,Aloysiusplein;Geffen,1/29/2024 7:00,1/29/2024 7:10,10,14,4,0,0,0,6,0,JUMBO\wesselthoonen,1/29/2024 10:51,11133,1/29/2024,VEGRDCVERS,0,0,0
29005757,7066,Coevering;Geldrop,1/29/2024 7:15,1/29/2024 7:00,25,14,1,0,0,0,4,0,JUMBO\wesselthoonen,1/29/2024 11:01,11153,1/29/2024,VEGRDCVERS,0,0,0
