AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
205001584,8890,Balkweg; Efc Kantine,7/24/2023 4:30,7/24/2023 4:20,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/24/2023 10:07,11041,7/24/2023,VEGRDCVERS,0,0,0
205001816,8833,Efc Den Bosch:Balkweg,7/24/2023 8:06,7/24/2023 8:25,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/24/2023 11:35,11193,7/24/2023,VEGRDCDKW6,0,0,26
205002812,8833,Efc Den Bosch:Balkweg,7/24/2023 10:40,7/24/2023 10:53,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/25/2023 7:28,11115,7/24/2023,VEGRDCVERS,0,0,26
205002813,8833,Efc Den Bosch:Balkweg,7/24/2023 4:45,7/24/2023 4:30,155,0,0,0,0,140,0,0,JUMBO\wesselthoonen,7/24/2023 10:06,11041,7/24/2023,VEGRDCVERS,0,0,0
205003113,6536,Horsterweg;Sevenum,7/24/2023 8:13,7/24/2023 8:40,36,20,0,0,0,20,8,0,JUMBO\wesselthoonen,7/24/2023 13:30,11128,7/24/2023,VEGRDCDKW4,0,0,0
205003761,3083,Stationsstraat;Deurne,7/24/2023 6:00,7/24/2023 6:02,16,15,1,0,0,0,8,0,JUMBO\wesselthoonen,7/24/2023 11:51,11119,7/24/2023,VEGRDCVERS,0,0,0
205003762,3656,Bloemenmarkt;Geleen,7/24/2023 6:00,7/24/2023 5:45,15,17,8,0,0,0,10,0,JUMBO\wesselthoonen,7/24/2023 11:53,11062,7/24/2023,VEGRDCVERS,0,0,0
205003763,4670,Stadsplein;S-Heerenberg,7/24/2023 6:30,7/24/2023 6:30,36,18,1,0,0,10,7,0,JUMBO\wesselthoonen,7/24/2023 11:54,11048,7/24/2023,VEGRDCVERS,0,0,0
205003764,7043,Carboonplein;Kerkrade,7/24/2023 6:00,7/24/2023 6:05,50,6,1,0,0,0,6,0,JUMBO\wesselthoonen,7/24/2023 11:56,11001,7/24/2023,VEGRDCVERS,0,0,0
205003765,1028,Sportlaan;Bree,7/24/2023 6:19,7/24/2023 6:10,40,8,0,0,0,10,0,0,JUMBO\wesselthoonen,7/24/2023 11:36,11161,7/24/2023,VEGRDCVERS,0,0,0
205003766,4828,Europalaan;Winterswijk,7/24/2023 7:00,7/24/2023 7:00,15,25,0,0,0,24,10,0,JUMBO\wesselthoonen,7/25/2023 8:05,11133,7/24/2023,VEGRDCVERS,2,0,0
205003767,1009,Sinttruidersteenweg;Stlambrecht,7/24/2023 7:00,7/24/2023 7:00,45,13,0,0,0,11,0,0,JUMBO\MarcelVanLieshout,7/24/2023 13:27,11005,7/24/2023,VEGRDCVERS,0,0,0
205003769,1005,Steenweg;Lanaken,7/24/2023 7:00,7/24/2023 7:40,11,7,0,0,0,11,0,0,JUMBO\wesselthoonen,7/24/2023 11:36,11007,7/24/2023,VEGRDCVERS,0,0,0
205003770,3487,Kerkstraat;Panningen,7/24/2023 6:15,7/24/2023 6:17,16,25,6,0,0,0,11,0,JUMBO\wesselthoonen,7/24/2023 11:52,11086,7/24/2023,VEGRDCVERS,0,0,0
205003771,6400,Loenenseweg;Eerbeek,7/24/2023 6:30,7/24/2023 6:25,40,16,6,0,0,10,5,0,JUMBO\wesselthoonen,7/24/2023 11:53,11046,7/24/2023,VEGRDCVERS,0,0,0
205003772,3416,Julianaplein;Zetten,7/24/2023 7:19,7/24/2023 7:41,25,16,1,0,0,10,6,0,JUMBO\wesselthoonen,7/25/2023 8:04,11056,7/24/2023,VEGRDCVERS,0,0,0
205003773,3600,Kapelweg;Born,7/24/2023 7:05,7/24/2023 7:05,30,20,1,0,0,15,10,0,JUMBO\wesselthoonen,7/24/2023 11:46,11060,7/24/2023,VEGRDCVERS,0,0,0
205003774,4935,Kennedylaan;Doetinchem,7/24/2023 7:15,7/24/2023 7:15,20,17,1,0,0,1,6,0,JUMBO\wesselthoonen,7/24/2023 11:45,11156,7/24/2023,VEGRDCVERS,0,0,0
205003775,6471,Bergstraat;Zelhem,7/24/2023 7:15,7/24/2023 7:29,31,17,1,0,0,1,7,0,JUMBO\wesselthoonen,7/24/2023 11:49,11044,7/24/2023,VEGRDCVERS,0,0,0
205003776,6533,Malbergsingel;Maastricht,7/24/2023 7:30,7/24/2023 8:30,11,13,1,0,0,10,5,0,JUMBO\wesselthoonen,7/24/2023 13:31,11068,7/24/2023,VEGRDCVERS,0,0,0
205003777,3113,Portbeemden; Eygelshoven,7/24/2023 7:30,7/24/2023 7:55,11,12,1,0,0,11,7,0,JUMBO\wesselthoonen,7/25/2023 7:40,11152,7/24/2023,VEGRDCVERS,0,0,2
205003778,3188,Wieënpassage;Venlo,7/24/2023 7:00,7/24/2023 7:15,5,13,1,0,0,0,6,0,JUMBO\wesselthoonen,7/24/2023 11:56,11084,7/24/2023,VEGRDCVERS,0,0,0
205003779,6537,Speelheuvelstraat;Someren,7/24/2023 6:00,7/24/2023 6:55,60,17,1,0,0,11,5,0,JUMBO\wesselthoonen,7/24/2023 11:53,11114,7/24/2023,VEGRDCVERS,0,12,0
205003780,6487,Adm de Ruyterstraat;Aalten,7/24/2023 7:00,7/24/2023 7:10,25,14,0,0,0,1,8,0,JUMBO\wesselthoonen,7/24/2023 11:47,11052,7/24/2023,VEGRDCVERS,0,0,0
205003781,3171,Verbrughweg;Lienden,7/24/2023 6:54,7/24/2023 7:35,15,26,1,0,0,21,10,0,JUMBO\wesselthoonen,7/24/2023 11:48,11009,7/24/2023,VEGRDCVERS,2,0,0
205003782,4884,Markt;Oirsbeek,7/24/2023 8:16,7/24/2023 8:15,31,16,0,0,0,10,8,0,JUMBO\wesselthoonen,7/24/2023 13:31,11074,7/24/2023,VEGRDCVERS,0,0,0
205003783,4846,Rijksweg;Cadier en Keer,7/24/2023 7:45,7/24/2023 8:15,36,13,1,0,0,10,5,0,JUMBO\wesselthoonen,7/24/2023 13:33,11126,7/24/2023,VEGRDCVERS,0,0,0
205003784,7092,Vossenerlaan;Blerick,7/24/2023 7:35,7/24/2023 9:21,15,8,0,0,0,10,5,0,JUMBO\wesselthoonen,7/24/2023 13:32,11150,7/24/2023,VEGRDCVERS,0,0,0
205003785,4891,Roersingelpassage;Roermond,7/24/2023 7:15,7/24/2023 7:10,20,2,1,0,0,11,6,0,JUMBO\wesselthoonen,7/24/2023 11:53,11195,7/24/2023,VEGRDCVERS,0,0,0
205003786,4698,Oosterhof;Boxtel,7/24/2023 6:14,7/24/2023 7:00,21,16,0,0,0,1,6,0,JUMBO\wesselthoonen,7/24/2023 11:54,11017,7/24/2023,VEGRDCVERS,0,0,0
205003787,4834,Rembrandtplein;Nieuw Bergen,7/24/2023 6:30,7/24/2023 6:29,10,20,2,0,0,11,9,0,JUMBO\wesselthoonen,7/24/2023 11:52,11094,7/24/2023,VEGRDCVERS,0,0,0
205003788,3475,van Heijdenstraat;Lichtenvoorde,7/24/2023 7:30,7/24/2023 7:45,5,18,0,0,0,0,4,0,JUMBO\wesselthoonen,7/24/2023 11:50,11154,7/24/2023,VEGRDCVERS,0,0,0
205003789,3480,Brusselsepoort;Maastricht,7/24/2023 7:15,7/24/2023 7:10,0,25,0,0,0,0,13,0,JUMBO\wesselthoonen,7/24/2023 11:49,11066,7/24/2023,VEGRDCVERS,0,0,0
205003794,3537,Helftheuvelpassage;Den Bosch,7/24/2023 6:30,7/24/2023 6:30,30,9,1,0,0,1,5,0,JUMBO\wesselthoonen,7/24/2023 11:51,11011,7/24/2023,VEGRDCVERS,0,0,0
205003795,6386,Roserije;Maastricht,7/24/2023 8:55,,0,0,0,0,0,0,0,0,,,11070,7/24/2023,VEGRDCVERS,0,0,0
205003796,3454,Basilica;Elst,7/24/2023 7:45,7/24/2023 8:10,25,13,0,0,0,10,6,0,JUMBO\wesselthoonen,7/24/2023 11:48,11035,7/24/2023,VEGRDCVERS,0,0,0
205003797,4874,Laag Mosae Forum;Maastricht,7/24/2023 8:09,7/24/2023 8:35,25,18,9,0,0,10,6,0,JUMBO\wesselthoonen,7/24/2023 13:33,11064,7/24/2023,VEGRDCVERS,0,0,0
205003798,4942,Fenikshof; Nijmegen,7/24/2023 7:21,7/24/2023 7:36,1,13,1,0,0,1,29,0,JUMBO\wesselthoonen,7/24/2023 11:48,11026,7/24/2023,VEGRDCVERS,0,0,0
205003799,5748,Diderna;Dieren,7/24/2023 7:45,7/24/2023 8:13,0,17,0,0,0,10,6,0,JUMBO\wesselthoonen,7/24/2023 13:34,11163,7/24/2023,VEGRDCVERS,0,0,0
205003800,6406,Kloosterplaats;Bemmel,7/24/2023 9:00,7/24/2023 9:43,0,7,7,0,0,0,10,0,JUMBO\wesselthoonen,7/24/2023 13:34,11163,7/24/2023,VEGRDCVERS,0,0,0
205003801,3462,Dorpsstraat;Heel,7/24/2023 8:00,7/24/2023 8:00,16,18,1,0,0,9,7,0,JUMBO\wesselthoonen,7/24/2023 11:50,11079,7/24/2023,VEGRDCVERS,0,0,0
205003802,7008,Boschdijk;Eindhoven,7/24/2023 7:15,7/24/2023 7:35,30,8,0,0,0,0,5,0,JUMBO\wesselthoonen,7/24/2023 11:54,11109,7/24/2023,VEGRDCVERS,0,0,0
205003803,3685,Elsenhof;Bergeijk,7/24/2023 7:19,7/24/2023 7:30,31,17,4,0,0,10,9,0,JUMBO\wesselthoonen,7/24/2023 11:55,11137,7/24/2023,VEGRDCVERS,0,0,0
