AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
100000164,4828,Europalaan;Winterswijk,4/10/2023 9:30,4/10/2023 9:30,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,4/10/2023 13:45,11500,4/10/2023,VEGRDCDKW4,0,0,0
100000165,6487,Adm de Ruyterstraat;Aalten,4/10/2023 8:40,4/10/2023 8:40,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,4/10/2023 13:45,11500,4/10/2023,VEGRDCDKW4,0,0,0
100000175,6536,Horsterweg;Sevenum,4/10/2023 8:13,4/10/2023 8:10,40,12,0,0,0,10,2,0,JUMBO\wesselthoonen,4/10/2023 13:45,11128,4/10/2023,VEGRDCDKW4,0,0,0
100000484,5136,Nieuwe Waalreseweg;Valkenswaard,4/10/2023 11:36,4/10/2023 11:15,10,7,0,0,0,10,2,0,JUMBO\wesselthoonen,4/10/2023 13:44,11162,4/10/2023,VEGRDCDKW4,0,0,0
100000755,8026,Grote Markt;Nijmegen,4/10/2023 10:30,4/10/2023 10:32,5,0,2,0,0,0,0,0,JUMBO\wesselthoonen,4/10/2023 14:12,11204,4/10/2023,VEGRDCVERS,0,0,0
100000756,6331,Hoofdstraat;Landgraaf,4/10/2023 11:29,4/10/2023 11:32,30,12,2,0,0,10,4,0,JUMBO\teunvlassak,4/10/2023 20:38,11168,4/10/2023,VEGRDCVERS,0,0,0
100000757,5117,Schoolstraat;Reusel,4/10/2023 10:47,4/10/2023 10:40,0,13,8,0,0,0,0,0,JUMBO\wesselthoonen,4/10/2023 14:17,11024,4/10/2023,VEGRDCVERS,0,0,0
100000758,5117,Schoolstraat;Reusel,4/10/2023 11:25,4/10/2023 12:14,0,0,0,0,0,0,0,0,JUMBO\teunvlassak,4/10/2023 20:26,11179,4/10/2023,VEGRDCVERS,0,0,0
100000759,3114,Sint Jorisplein;Schijndel,4/10/2023 10:02,4/10/2023 9:45,35,16,1,0,0,0,2,0,JUMBO\wesselthoonen,4/10/2023 14:08,11206,4/10/2023,VEGRDCVERS,0,0,0
100000760,4661,Azalealaan;Helmond,4/10/2023 9:41,4/10/2023 9:30,50,9,0,0,0,11,3,0,JUMBO\wesselthoonen,4/10/2023 14:09,11174,4/10/2023,VEGRDCVERS,0,0,0
100000761,5023,Hofvijver;Den Bosch,4/10/2023 9:28,4/10/2023 9:28,31,12,1,0,0,10,2,0,JUMBO\wesselthoonen,4/10/2023 14:09,11131,4/10/2023,VEGRDCVERS,0,0,0
100000762,3754,Hortensialaan;Aalst,4/10/2023 10:25,4/10/2023 10:42,15,7,5,0,0,0,2,0,JUMBO\wesselthoonen,4/10/2023 14:13,11196,4/10/2023,VEGRDCVERS,0,0,0
100000764,5127,Hertog Hendrikstraat;St. Oedenrode,4/10/2023 9:55,4/10/2023 9:45,46,20,0,0,0,8,4,0,JUMBO\wesselthoonen,4/10/2023 14:09,11095,4/10/2023,VEGRDCVERS,0,0,0
100000766,4938,S-Gravenswaardsedijk;Tolkamer,4/10/2023 12:09,4/10/2023 12:00,21,13,0,0,0,0,2,0,JUMBO\teunvlassak,4/10/2023 20:38,11063,4/10/2023,VEGRDCVERS,0,0,0
100000767,3090,Hilverstraat;Hilvarenbeek,4/10/2023 12:05,4/10/2023 12:51,40,20,0,0,0,11,5,0,JUMBO\teunvlassak,4/10/2023 20:27,11179,4/10/2023,VEGRDCVERS,0,0,0
100000768,4848,Rompertpassage;Den Bosch,4/10/2023 12:00,4/10/2023 11:35,65,4,0,0,0,2,2,0,JUMBO\teunvlassak,4/10/2023 20:40,11015,4/10/2023,VEGRDCVERS,0,0,0
100000769,3642,Korianderplein;Apeldoorn,4/10/2023 11:48,4/10/2023 12:40,31,18,0,0,0,10,4,0,JUMBO\wesselthoonen,4/11/2023 8:38,11187,4/10/2023,VEGRDCVERS,0,0,0
100000770,5132,Losplaats;Uden,4/10/2023 10:50,4/10/2023 10:50,15,14,0,0,0,1,2,0,JUMBO\teunvlassak,4/10/2023 20:44,11018,4/10/2023,VEGRDCVERS,0,0,0
100000771,4915,Schakelplein;Volkel,4/10/2023 10:02,4/10/2023 10:00,21,11,4,0,0,0,1,0,JUMBO\teunvlassak,4/10/2023 20:44,11018,4/10/2023,VEGRDCVERS,0,0,0
100000772,4724,Willibrorduslaan;Valkenswaard,4/10/2023 12:00,4/10/2023 12:15,21,8,0,0,0,0,3,0,JUMBO\teunvlassak,4/10/2023 20:37,11172,4/10/2023,VEGRDCVERS,0,0,0
100000773,5136,Nieuwe Waalreseweg;Valkenswaard,4/10/2023 12:50,4/10/2023 13:00,20,0,0,0,0,0,0,0,JUMBO\teunvlassak,4/10/2023 20:37,11172,4/10/2023,VEGRDCVERS,0,0,0
100000774,3555,Pettelaarseweg;Den Bosch,4/10/2023 11:00,4/10/2023 10:50,30,7,0,0,0,0,2,0,JUMBO\teunvlassak,4/10/2023 20:45,11159,4/10/2023,VEGRDCVERS,0,0,0
100000775,7122,Molenakkerplein;Weert,4/10/2023 11:19,4/10/2023 11:57,41,19,1,0,0,10,5,0,JUMBO\teunvlassak,4/10/2023 20:39,11089,4/10/2023,VEGRDCVERS,0,0,0
100000776,6540,Leegstraat;Winssen,4/10/2023 11:05,4/10/2023 11:30,35,17,1,0,0,1,5,0,JUMBO\teunvlassak,4/10/2023 20:44,11039,4/10/2023,VEGRDCVERS,0,0,0
100000777,7101,Straelseweg;Venlo,4/10/2023 10:55,4/10/2023 11:15,36,14,2,0,0,10,2,0,JUMBO\teunvlassak,4/10/2023 20:37,11099,4/10/2023,VEGRDCVERS,0,0,0
100000778,3783,Heelweg;Dinxperlo,4/10/2023 11:36,4/10/2023 11:15,25,17,1,0,0,11,3,0,JUMBO\teunvlassak,4/10/2023 20:38,11183,4/10/2023,VEGRDCVERS,0,0,0
100000779,3179,de Loop;Oirschot,4/10/2023 10:15,4/10/2023 9:55,24,12,0,0,0,11,3,0,JUMBO\wesselthoonen,4/10/2023 14:10,11112,4/10/2023,VEGRDCVERS,0,0,1
100000780,3117,Brouwhorst;Helmond,4/10/2023 11:08,4/10/2023 11:32,30,15,1,0,0,0,4,0,JUMBO\teunvlassak,4/10/2023 20:47,11110,4/10/2023,VEGRDCVERS,0,0,0
100000781,3535,Schubertplein;Apeldoorn,4/10/2023 12:00,4/10/2023 11:55,30,11,1,0,0,1,0,0,JUMBO\teunvlassak,4/10/2023 20:47,11177,4/10/2023,VEGRDCVERS,0,0,0
100000782,5033,Zuiderpoort;Echt,4/10/2023 13:00,4/10/2023 13:16,20,10,0,0,0,0,3,0,JUMBO\wesselthoonen,4/11/2023 8:43,11087,4/10/2023,VEGRDCVERS,0,0,0
100000783,6373,Lokerenpassage;Den Bosch,4/10/2023 11:10,4/10/2023 11:08,11,12,0,1,0,11,2,0,JUMBO\wesselthoonen,4/10/2023 14:17,11012,4/10/2023,VEGRDCVERS,0,0,0
100000784,3448,Pastoriestraat;Duiven,4/10/2023 11:53,4/10/2023 12:15,10,13,2,0,0,0,3,0,JUMBO\teunvlassak,4/10/2023 20:25,11185,4/10/2023,VEGRDCVERS,0,0,0
100000785,3130,Mozartlaan;Doorwerth,4/10/2023 12:41,4/10/2023 12:45,0,14,0,0,0,7,2,0,JUMBO\teunvlassak,4/10/2023 20:24,11166,4/10/2023,VEGRDCVERS,0,0,0
100000786,4636,Tegelpoort;Venlo,4/10/2023 12:03,4/10/2023 12:11,0,0,0,0,0,0,0,0,JUMBO\teunvlassak,4/10/2023 20:46,11104,4/10/2023,VEGRDCVERS,0,0,0
