AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
191000082,8890,Balkweg; Efc Kantine,7/10/2023 5:00,7/10/2023 4:57,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,7/10/2023 11:40,11041,7/10/2023,VEGRDCVERS,0,0,0
191000481,6536,Horsterweg;Sevenum,7/10/2023 8:13,7/10/2023 8:00,65,23,0,0,0,20,5,0,JUMBO\wesselthoonen,7/10/2023 13:39,11128,7/10/2023,VEGRDCDKW4,0,0,0
191001726,6537,Speelheuvelstraat;Someren,7/10/2023 6:00,7/10/2023 6:06,50,22,1,0,0,21,5,0,JUMBO\wesselthoonen,7/10/2023 13:44,11114,7/10/2023,VEGRDCVERS,0,0,0
191001727,3656,Bloemenmarkt;Geleen,7/10/2023 6:00,7/10/2023 5:53,0,17,7,0,0,0,12,0,JUMBO\wesselthoonen,7/10/2023 11:52,11062,7/10/2023,VEGRDCVERS,0,0,0
191001728,3083,Stationsstraat;Deurne,7/10/2023 6:00,7/10/2023 6:00,10,22,2,0,0,0,7,0,JUMBO\wesselthoonen,7/10/2023 13:44,11119,7/10/2023,VEGRDCVERS,0,0,0
191001729,1009,Sinttruidersteenweg;Stlambrecht,7/10/2023 7:00,7/10/2023 6:55,15,0,0,1,0,10,0,0,JUMBO\wesselthoonen,7/10/2023 11:36,11005,7/10/2023,VEGRDCVERS,0,0,0
191001730,4670,Stadsplein;S-Heerenberg,7/10/2023 6:30,7/10/2023 6:35,0,22,2,0,0,11,7,0,JUMBO\wesselthoonen,7/10/2023 11:47,11048,7/10/2023,VEGRDCVERS,0,0,0
191001731,4828,Europalaan;Winterswijk,7/10/2023 7:00,7/10/2023 7:00,5,33,2,0,0,20,10,0,JUMBO\wesselthoonen,7/10/2023 13:39,11133,7/10/2023,VEGRDCVERS,0,0,0
191001732,1028,Sportlaan;Bree,7/10/2023 6:19,7/10/2023 6:19,41,6,1,0,0,0,0,0,JUMBO\wesselthoonen,7/10/2023 11:36,11161,7/10/2023,VEGRDCVERS,0,0,0
191001733,6400,Loenenseweg;Eerbeek,7/10/2023 6:30,7/10/2023 6:15,25,19,5,0,0,11,8,0,JUMBO\wesselthoonen,7/10/2023 11:51,11046,7/10/2023,VEGRDCVERS,0,0,0
191001734,7043,Carboonplein;Kerkrade,7/10/2023 6:00,7/10/2023 6:15,40,14,0,0,0,10,4,0,JUMBO\wesselthoonen,7/10/2023 11:41,11001,7/10/2023,VEGRDCVERS,0,10,0
191001737,1005,Steenweg;Lanaken,7/10/2023 7:00,7/10/2023 7:35,22,0,0,0,0,10,0,0,JUMBO\wesselthoonen,7/11/2023 7:20,11007,7/10/2023,VEGRDCVERS,0,0,0
