AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
275000260,4604,Raadhuisplein;Stein,10/2/2023 18:33,10/2/2023 17:24,12,17,1,0,0,10,6,0,JUMBO\wesselthoonen,10/3/2023 11:37,11410,10/2/2023,VEGRDCDKW4,0,0,0
275005289,3113,Portbeemden; Eygelshoven,10/2/2023 7:00,10/2/2023 7:00,26,12,1,0,0,1,7,0,JUMBO\wesselthoonen,10/2/2023 11:00,11127,10/2/2023,VEGRDCVERS,0,0,0
275005290,3656,Bloemenmarkt;Geleen,10/2/2023 6:00,10/2/2023 6:00,5,15,7,0,0,10,10,0,JUMBO\wesselthoonen,10/2/2023 10:57,11142,10/2/2023,VEGRDCVERS,0,0,0
275005291,3455,Europaplein;Elst,10/2/2023 6:45,10/2/2023 7:35,51,11,0,0,0,11,1,0,JUMBO\wesselthoonen,10/2/2023 10:57,11041,10/2/2023,VEGRDCVERS,0,0,0
275005292,7008,Boschdijk;Eindhoven,10/2/2023 7:15,10/2/2023 7:31,20,12,1,0,0,1,10,0,JUMBO\wesselthoonen,10/2/2023 11:03,11045,10/2/2023,VEGRDCVERS,0,0,0
275005293,4828,Europalaan;Winterswijk,10/2/2023 7:00,10/2/2023 7:00,20,28,1,0,0,22,8,0,JUMBO\wesselthoonen,10/2/2023 13:27,11074,10/2/2023,VEGRDCVERS,0,0,0
275005294,5748,Diderna;Dieren,10/2/2023 7:50,10/2/2023 7:50,0,18,0,0,0,0,6,0,JUMBO\wesselthoonen,10/2/2023 10:15,11164,10/2/2023,VEGRDCVERS,0,0,0
275005316,4874,Laag Mosae Forum;Maastricht,10/2/2023 7:50,10/2/2023 7:30,30,19,12,0,0,10,4,0,JUMBO\wesselthoonen,10/2/2023 12:22,11186,10/2/2023,VEGRDCVERS,0,0,0
275005317,6480,Ekershof; Dreumel,10/2/2023 8:32,10/2/2023 8:30,31,18,1,0,0,9,7,0,JUMBO\wesselthoonen,10/2/2023 11:00,11072,10/2/2023,VEGRDCVERS,0,0,0
275005318,4698,Oosterhof;Boxtel,10/2/2023 6:00,10/2/2023 6:00,16,11,0,0,0,11,7,0,JUMBO\wesselthoonen,10/2/2023 11:01,11065,10/2/2023,VEGRDCVERS,0,0,0
275005319,4891,Roersingelpassage;Roermond,10/2/2023 7:00,10/2/2023 7:10,71,16,2,0,0,0,3,0,JUMBO\wesselthoonen,10/2/2023 10:58,11109,10/2/2023,VEGRDCVERS,0,0,0
275005973,5135,Leenderweg;Valkenswaard,10/2/2023 7:15,10/2/2023 7:25,41,21,3,0,0,11,8,0,JUMBO\wesselthoonen,10/2/2023 10:13,11137,10/2/2023,VEGRDCVERS,0,0,0
275005974,6400,Loenenseweg;Eerbeek,10/2/2023 6:30,10/2/2023 7:11,10,22,5,0,0,7,12,0,JUMBO\wesselthoonen,10/2/2023 13:28,11104,10/2/2023,VEGRDCVERS,0,0,0
275005975,6485,Burg. Verkuijlstraat;Boxmeer,10/2/2023 6:30,10/2/2023 6:30,25,18,0,0,0,10,5,0,JUMBO\wesselthoonen,10/2/2023 9:34,11151,10/2/2023,VEGRDCVERS,0,0,0
275005976,4860,Past.Poellplein;Gemert,10/2/2023 6:00,10/2/2023 5:58,40,27,0,0,0,0,7,0,JUMBO\wesselthoonen,10/2/2023 9:35,11183,10/2/2023,VEGRDCVERS,0,0,0
275005977,3188,Wieënpassage;Venlo,10/2/2023 7:00,10/2/2023 7:00,46,16,0,0,0,11,9,0,JUMBO\wesselthoonen,10/2/2023 10:14,11190,10/2/2023,VEGRDCVERS,0,0,0
275005978,3600,Kapelweg;Born,10/2/2023 7:54,10/2/2023 8:00,30,20,1,0,0,8,10,0,JUMBO\wesselthoonen,10/2/2023 13:27,11147,10/2/2023,VEGRDCVERS,0,0,0
275005979,7092,Vossenerlaan;Blerick,10/2/2023 7:00,10/2/2023 6:45,65,15,1,0,0,21,7,0,JUMBO\wesselthoonen,10/2/2023 11:05,11099,10/2/2023,VEGRDCVERS,0,0,0
275005980,6533,Malbergsingel;Maastricht,10/2/2023 7:30,10/2/2023 7:35,42,23,1,0,0,10,7,0,JUMBO\wesselthoonen,10/2/2023 13:32,11129,10/2/2023,VEGRDCVERS,0,0,0
275005983,4935,Kennedylaan;Doetinchem,10/2/2023 7:49,10/2/2023 8:39,0,12,0,0,0,0,0,0,JUMBO\wesselthoonen,10/2/2023 13:30,11501,10/2/2023,VEGRDCVERS,0,0,0
275005984,3116,Vinckenhofstraat;Venlo,10/2/2023 7:30,10/2/2023 7:39,25,19,0,0,0,9,6,0,JUMBO\wesselthoonen,10/2/2023 10:59,11078,10/2/2023,VEGRDCVERS,0,0,0
275005988,1028,Sportlaan;Bree,10/2/2023 6:00,10/2/2023 6:00,11,11,1,0,0,0,0,0,JUMBO\wesselthoonen,10/2/2023 10:52,11076,10/2/2023,VEGRDCVERS,0,0,0
275005989,3487,Kerkstraat;Panningen,10/2/2023 6:15,10/2/2023 6:13,21,22,5,0,0,10,9,0,JUMBO\wesselthoonen,10/2/2023 11:02,11149,10/2/2023,VEGRDCVERS,0,0,0
