AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
331000963,8833,Efc Den Bosch:Balkweg,11/27/2023 5:30,11/27/2023 5:34,0,30,0,0,0,0,14,0,JUMBO\nielswijnen,11/27/2023 10:04,11106,11/27/2023,VEGRDCDKW4,0,0,0
331000964,8833,Efc Den Bosch:Balkweg,11/27/2023 9:45,11/27/2023 10:10,0,25,0,0,0,0,25,0,JUMBO\nielswijnen,11/27/2023 12:58,11143,11/27/2023,VEGRDCDKW4,0,0,0
331000967,8833,Efc Den Bosch:Balkweg,11/27/2023 11:55,11/27/2023 11:15,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,11/28/2023 8:40,11197,11/27/2023,VEGRDCDKW6,0,0,26
331000968,8833,Efc Den Bosch:Balkweg,11/27/2023 11:20,11/27/2023 13:11,0,30,0,0,0,0,18,0,JUMBO\wesselthoonen,11/28/2023 11:06,11088,11/27/2023,VEGRDCDKW6,0,0,0
331001944,6526,Lavendel:Cuijk,11/27/2023 11:10,11/27/2023 10:40,0,0,0,0,0,0,0,0,JUMBO\nielswijnen,11/27/2023 12:58,11505,11/27/2023,VEGRDCDKW4,0,0,0
331001945,4665,Demeent;Groesbeek,11/27/2023 10:30,11/27/2023 10:05,0,0,0,0,0,0,0,0,JUMBO\nielswijnen,11/27/2023 12:58,11505,11/27/2023,VEGRDCDKW4,0,0,0
331002068,4891,Roersingelpassage;Roermond,11/27/2023 7:00,11/27/2023 6:45,75,14,0,0,0,20,5,0,JUMBO\nielswijnen,11/27/2023 10:02,11109,11/27/2023,VEGRDCVERS,0,0,0
331002069,7092,Vossenerlaan;Blerick,11/27/2023 7:00,11/27/2023 6:56,45,13,2,0,0,20,6,0,JUMBO\wesselthoonen,11/28/2023 11:43,11099,11/27/2023,VEGRDCVERS,0,0,0
331002070,7043,Carboonplein;Kerkrade,11/27/2023 6:00,11/27/2023 6:00,25,11,0,0,0,20,5,0,JUMBO\nielswijnen,11/27/2023 10:01,11115,11/27/2023,VEGRDCVERS,0,0,0
331002071,5135,Leenderweg;Valkenswaard,11/27/2023 7:15,11/27/2023 7:15,30,20,1,0,0,10,8,0,JUMBO\wesselthoonen,11/28/2023 11:44,11137,11/27/2023,VEGRDCVERS,0,0,0
331002072,3179,de Loop;Oirschot,11/27/2023 7:44,11/27/2023 8:15,45,16,1,0,0,11,8,0,JUMBO\nielswijnen,11/27/2023 12:50,11052,11/27/2023,VEGRDCVERS,0,0,0
331002587,4828,Europalaan;Winterswijk,11/27/2023 8:35,11/27/2023 8:40,0,0,0,0,0,0,0,0,JUMBO\nielswijnen,11/27/2023 12:57,11503,11/27/2023,VEGRDCDKW6,0,0,0
331002588,3475,van Heijdenstraat;Lichtenvoorde,11/27/2023 9:10,11/27/2023 9:10,0,0,0,0,0,0,0,0,JUMBO\nielswijnen,11/27/2023 12:58,11503,11/27/2023,VEGRDCDKW6,0,0,0
