Date,Bb
2024-03-20,530
2024-03-21,532
2024-03-22,618
2024-03-23,708
2024-03-24,239
2024-03-25,960
2024-03-26,535
2024-03-27,531
2024-03-28,535
2024-03-29,667
2024-03-30,810
2024-03-31,183
2024-04-01,743
2024-04-02,622
2024-04-03,596
2024-04-04,534
2024-04-05,627
2024-04-06,800
2024-04-07,244
