Date,Bb,Sales,Temp_Max
2024-04-08,1071,164190,20.3
2024-04-09,645,143352,14.2
2024-04-10,573,169521,15.7
2024-04-11,567,166636,14.0
2024-04-12,707,226801,21.4
2024-04-13,828,237500,23.7
2024-04-14,252,144005,15.9
2024-04-15,,,11.5
2024-04-16,,,11.1
2024-04-17,,,9.9
2024-04-18,,,12.5
2024-04-19,,,12.6
2024-04-20,,,11.5
2024-04-21,,,11.1
